"Year","GDP","Inflation_Rate","Interest_Rates","Oil._Price","Per_Capita_Income","Population","S_P_500","Unemployment_Rate"
1960,"543.30","1.72%","3.21%",1.9,3.007,"176,188,578","55.85","6.6%"
1961,"563.30","1.01%","1.95%",1.8,3.067,"179,087,278","66.27","6.0%"
1962,"605.10","1.00%","2.71%",1.8,3.244,"181,917,809","62.32","5.5%"
1963,"638.60","1.32%","3.18%",1.8,3.375,"184,649,873","69.86","5.5%"
1964,"685.80","1.31%","3.50%",1.8,3.574,"187,277,378","81.37","5.0%"
1965,"743.70","1.61%","4.08%",1.8,3.828,"189,703,283","88.16","4.0%"
1966,"815.00","2.86%","5.11%",1.8,4.146,"191,830,975","85.18","3.8%"
1967,"861.70","3.09%","4.22%",1.8,4.336,"193,782,438","91.96","3.8%"
1968,"942.50","4.19%","5.66%",1.8,4.696,"195,743,427","98.38","3.4%"
1969,"1,019.90","5.46%","8.21%",1.8,5.032,"197,859,329","97.77","3.5%"
1970,"1,073.30","5.72%","7.17%",1.8,5.234,"200,328,340","83.15","6.1%"
1971,"1,164.85","4.38%","4.67%",2.24,5.609,"202,907,917","98.32","6.0%"
1972,"1,279.11","3.21%","4.44%",2.48,6.094,"205,238,390","109.13","5.2%"
1973,"1,425.38","6.22%","8.74%",3.29,6.726,"207,314,764","107.44","4.9%"
1974,"1,545.24","11.04%","10.51%",11.58,7.226,"209,277,968","82.78","7.2%"
1975,"1,684.90","9.13%","5.82%",11.53,7.801,"211,274,535","86.18","8.2%"
1976,"1,873.41","5.76%","5.05%",12.8,8.592,"213,270,022","102.04","7.8%"
1977,"2,081.83","6.50%","5.54%",13.92,9.453,"215,437,405","98.18","6.4%"
1978,"2,351.60","7.59%","7.94%",14.02,10.565,"217,881,437","96.11","6.0%"
1979,"2,627.33","11.35%","11.20%",31.61,11.674,"220,463,115","103.00","6.0%"
1980,"2,857.31","13.50%","13.35%",36.83,12.575,"223,140,018","118.71","7.2%"
1981,"3,207.04","10.32%","16.39%",35.93,13.976,"225,654,008","128.04","8.5%"
1982,"3,343.79","6.16%","12.24%",32.97,14.434,"228,001,418","119.71","10.8%"
1983,"3,634.04","3.21%","9.09%",29.55,15.544,"230,389,964","160.47","8.3%"
1984,"4,037.61","4.32%","10.23%",28.78,17.121,"232,766,280","160.46","7.3%"
1985,"4,338.98","3.56%","8.10%",27.56,18.237,"235,146,182","186.83","7.0%"
1986,"4,579.63","1.86%","6.80%",14.43,19.071,"237,512,783","236.39","6.6%"
1987,"4,855.22","3.65%","6.66%",18.44,20.039,"239,853,168","287.00","5.7%"
1988,"5,236.44","4.14%","7.57%",14.92,21.417,"242,287,814","265.88","5.3%"
1989,"5,641.58","4.82%","9.21%",18.23,22.857,"244,954,094","323.05","5.4%"
